,都道府県,variable,value
487,福井県,1985,74.88881546657747
488,山梨県,1985,74.35337744638159
489,長野県,1985,73.36392071390692
490,岐阜県,1985,72.29318992672825
491,静岡県,1985,69.08004700771231
492,愛知県,1985,71.87216069886837
493,三重県,1985,71.45368650201165
494,滋賀県,1985,67.06651010567867
495,京都府,1985,76.76543369239243
496,大阪府,1985,67.81957108799143
497,兵庫県,1985,71.51991269783787
498,奈良県,1985,67.42942346636181
499,和歌山県,1985,80.30226749124137
500,鳥取県,1985,73.26667028503137
501,島根県,1985,75.98546601283365
502,岡山県,1985,77.27835317093059
503,広島県,1985,70.8348575537357
504,山口県,1985,76.79973263773655
505,徳島県,1985,72.19003757548312
506,香川県,1985,71.87238115133393
507,愛媛県,1985,76.67498470127435
508,高知県,1985,76.59619385847421
509,福岡県,1985,73.51255986946032
510,佐賀県,1985,76.34191787275029
511,長崎県,1985,78.01771943890708
512,熊本県,1985,76.69537568258797
513,大分県,1985,71.17194777711535
514,宮崎県,1985,70.83430253809804
515,鹿児島県,1985,77.35700008297573
516,沖縄県,1985,75.07459470935387
517,北海道,1986,77.89768305009449
518,青森県,1986,79.45111165636985
519,岩手県,1986,76.6764262667959
520,宮城県,1986,75.70803171362813
521,秋田県,1986,79.40051916994221
522,山形県,1986,77.63209458373966
523,福島県,1986,76.87211856273376
524,茨城県,1986,74.75623440428114
525,栃木県,1986,72.87126762729493
526,群馬県,1986,73.47515016291369
527,埼玉県,1986,69.74037365236674
528,千葉県,1986,70.64990607121689
529,東京都,1986,79.64948651389103
530,神奈川県,1986,68.79301647172433
531,新潟県,1986,79.19750488904195
532,富山県,1986,73.34819545279743
533,石川県,1986,71.50409778863884
534,福井県,1986,76.95313249741575
535,山梨県,1986,74.23687854990041
536,長野県,1986,74.24902450577423
537,岐阜県,1986,75.00788158877606
538,静岡県,1986,73.25463231154164
539,愛知県,1986,74.88461440244552
540,三重県,1986,74.37949318935907
541,滋賀県,1986,70.551657631099
542,京都府,1986,79.69277834476038
543,大阪府,1986,70.94877199018421
544,兵庫県,1986,73.4101677399269
545,奈良県,1986,69.22472914386908
546,和歌山県,1986,80.19220971592716
547,鳥取県,1986,78.80372606425153
548,島根県,1986,78.79327608255251
549,岡山県,1986,82.5522176089379
550,広島県,1986,73.73741473055446
551,山口県,1986,78.16880111907547
552,徳島県,1986,75.17577231013965
553,香川県,1986,76.87788908348494
554,愛媛県,1986,79.01113353178089
555,高知県,1986,78.92435334767342
556,福岡県,1986,76.28928828589389
557,佐賀県,1986,79.61569359797772
558,長崎県,1986,79.61820259179852
559,熊本県,1986,79.29471012846972
560,大分県,1986,74.60070963139019
561,宮崎県,1986,74.52999661055249
562,鹿児島県,1986,80.51489032248782
563,沖縄県,1986,79.86779146234963
564,北海道,1987,81.85526681293769
565,青森県,1987,82.38436518894
566,岩手県,1987,81.90215413097769
567,宮城県,1987,79.56976585074084
568,秋田県,1987,82.36408666158313
569,山形県,1987,80.615161200938
570,福島県,1987,79.97491291372914
571,茨城県,1987,74.35758566130764
572,栃木県,1987,76.72086783019517
573,群馬県,1987,78.72340791218228
