,都道府県,variable,value
243,栃木県,1980,178.04598729454221
244,群馬県,1980,176.5495447374632
245,埼玉県,1980,174.81848764144186
246,千葉県,1980,167.7009031929118
247,東京都,1980,156.97486152267894
248,神奈川県,1980,173.03099756257788
249,新潟県,1980,159.20823213713203
250,富山県,1980,159.31802319338559
251,石川県,1980,158.16740287520747
252,福井県,1980,164.91290639375615
253,山梨県,1980,168.4462560461175
254,長野県,1980,161.70331044251114
255,岐阜県,1980,165.41197290015347
256,静岡県,1980,163.37534162477908
257,愛知県,1980,163.90162399054663
258,三重県,1980,159.26248910526903
259,滋賀県,1980,172.28429395602723
260,京都府,1980,169.82629116877737
261,大阪府,1980,156.64697715709298
262,兵庫県,1980,157.45061739135656
263,奈良県,1980,163.80780069925402
264,和歌山県,1980,145.35266745304034
265,鳥取県,1980,158.62729549811803
266,島根県,1980,165.47397867903155
267,岡山県,1980,157.2613163849654
268,広島県,1980,151.36676040303297
269,山口県,1980,152.16306601855482
270,徳島県,1980,157.2989978535454
271,香川県,1980,160.51812232802058
272,愛媛県,1980,153.60811699965922
273,高知県,1980,158.29652288871304
274,福岡県,1980,168.36707036840397
275,佐賀県,1980,164.811886700379
276,長崎県,1980,152.02148938402792
277,熊本県,1980,165.35184945043264
278,大分県,1980,178.63602531145887
279,宮崎県,1980,164.4535258848509
280,鹿児島県,1980,168.84261025864384
281,沖縄県,1980,161.7774304538005
282,北海道,1981,174.27412111694616
283,青森県,1981,167.77352405087308
284,岩手県,1981,162.88781672364763
285,宮城県,1981,173.35411452697545
286,秋田県,1981,159.91803235430046
287,山形県,1981,163.26195816693107
288,福島県,1981,175.21913634827223
289,茨城県,1981,188.76033403796646
290,栃木県,1981,182.41416160491306
291,群馬県,1981,197.10505198564027
292,埼玉県,1981,190.65230175554254
293,千葉県,1981,183.25949800648954
294,東京都,1981,171.83516419929822
295,神奈川県,1981,186.48876801664593
296,新潟県,1981,169.0705332314868
297,富山県,1981,166.96559916246107
298,石川県,1981,172.5170343764516
299,福井県,1981,179.99390086318292
300,山梨県,1981,183.45052389376153
301,長野県,1981,173.85571062241556
302,岐阜県,1981,176.43515102719007
303,静岡県,1981,176.63170378142937
304,愛知県,1981,179.89273172710784
305,三重県,1981,166.3038929225524
306,滋賀県,1981,188.28268259547843
307,京都府,1981,182.48467534470265
308,大阪府,1981,164.07399480657895
309,兵庫県,1981,168.09996580099505
310,奈良県,1981,175.01302239852546
311,和歌山県,1981,159.8765916893089
312,鳥取県,1981,168.00685332945596
313,島根県,1981,176.96708165274558
314,岡山県,1981,164.7359305944727
315,広島県,1981,159.9422849892868
316,山口県,1981,154.31684642170973
317,徳島県,1981,168.06809732464777
318,香川県,1981,165.7875124047233
319,愛媛県,1981,164.93097317920459
320,高知県,1981,167.4529432185985
321,福岡県,1981,177.07050427182492
322,佐賀県,1981,172.13536178408697
323,長崎県,1981,164.75883100149315
324,熊本県,1981,174.8151829637178
325,大分県,1981,180.39249724349872
326,宮崎県,1981,174.41808630124908
327,鹿児島県,1981,180.45453786252344
328,沖縄県,1981,175.3970889909153
329,北海道,1982,183.2258227584991
330,青森県,1982,178.000040655089
331,岩手県,1982,167.21931953472412
332,宮城県,1982,184.2247837516679
333,秋田県,1982,167.46136279504245
334,山形県,1982,172.47325710742746
335,福島県,1982,184.83767636452362
336,茨城県,1982,200.6800058603152
337,栃木県,1982,191.09465178829342
